Point Name,Count
Actor 1,19
Actor 2,24
Actor 3,9
Actor 4,15
Actor 5,14
Actor 6,22
Actor 7,34
Actor 8,35
Actor 9,37
Actor 10,36
Actor 11,23
Actor 12,16
Actor 13,32
Actor 14,30
Actor 15,38
Actor 16,20
Actor 17,27
Actor 18,25
Actor 19,29
Actor 20,31
Actor 21,38
Actor 22,36
Actor 23,37
Actor 24,5
Actor 25,36
Actor 26,8
Actor 27,10
Actor 28,33
Actor 29,37
Actor 30,37
Actor 31,33
Actor 32,37
Actor 33,37
Actor 34,26
Actor 35,38
Actor 36,37
Actor 37,2
Actor 38,17
Actor 39,11
Actor 40,21
Actor 41,7
Actor 42,6
Actor 43,25
Actor 44,4
Actor 45,13
Actor 46,30
Actor 47,3
Actor 48,1
Actor 49,12
Actor 50,18
Actor 51,28
Actor 52,28
System 1,237
System 2,212
System 3,43
System 4,212
System 5,159
System 6,240
System 7,266
System 8,301
System 9,272
System 10,460
System 11,6
System 12,59
System 13,5
System 14,81
System 15,20
System 16,26
System 17,1
System 18,1
System 19,61
System 20,1
System 21,7
System 22,15
System 23,3
System 24,25
System 25,37
System 26,59
System 27,37
System 28,61
System 29,2
System 30,6
System 31,8
System 32,10
System 33,21
System 34,5
System 35,20
System 36,26
System 37,107
System 38,12
System 39,12
System 40,16
System 41,18
System 42,10
System 43,2
System 44,13
System 45,119
System 46,39
System 47,20
System 48,19
System 49,11
System 50,91
System 51,33
System 52,2
System 53,67
System 54,61
System 55,4
System 56,5
System 57,21
System 58,51
System 59,36
System 60,24
System 61,51
System 62,1
System 63,66
System 64,4
System 65,1
System 66,2
System 67,16
System 68,18
System 69,40
System 70,34
System 71,2
System 72,1
System 73,15
System 74,2
System 75,43
System 76,2
System 77,14
System 78,104
System 79,3
System 80,2
System 81,7
System 82,6
System 83,17
System 84,30
System 85,32282
System 86,32
System 87,34
System 88,7
System 89,2
System 90,57
System 91,22
System 92,5
System 93,5
System 94,40
System 95,36
System 96,1
System 97,31
System 98,9
System 99,18
System 100,4
System 101,15
System 102,44
System 103,5
System 104,7
System 105,46
System 106,21
System 107,49
System 108,36
System 109,1
System 110,6
System 111,49
System 112,4
System 113,14
System 114,15
System 115,4
System 116,35
System 117,6
System 118,3
System 119,102
System 120,7
System 121,4
System 122,1
System 123,5
System 124,16
System 125,42
System 126,23
System 127,78
System 128,36
System 129,11
System 130,49
System 131,32
System 132,1
System 133,1
System 134,15
System 135,12
System 136,2
System 137,7
System 138,28
System 139,3
System 140,10
System 141,1
System 142,1
System 143,4
System 144,7
System 145,8
System 146,15
System 147,3
System 148,10
System 149,43
System 150,21
System 151,3
System 152,1
System 153,2
System 154,1
System 155,2
System 156,1
System 157,1
System 158,1
System 159,1
System 160,3
System 161,3
System 162,7
System 163,2
System 164,1
System 165,1
System 166,1
System 167,1
System 168,4
System 169,1
System 170,10
System 171,1
System 172,2
System 173,1
System 174,1
System 175,2
System 176,2
System 177,1
System 178,2
System 179,1
System 180,2
System 181,2
System 182,2
System 183,2
System 184,2
System 185,2
System 186,2
System 187,2
System 188,2
System 189,2
System 190,2
System 191,2
System 192,2
System 193,2
System 194,2
System 195,2
System 196,2
System 197,2
System 198,2
System 199,2
System 200,2
System 201,2
System 202,2
System 203,2
System 204,2
System 205,2
System 206,2
System 207,2
System 208,1
System 209,1
System 210,1
System 211,2
System 212,1
System 213,2
System 214,1
System 215,1
System 216,1
System 217,1
System 218,1
System 219,2
System 220,1
System 221,1
System 222,2
System 223,1
System 224,1
System 225,2
System 226,1
System 227,1
System 228,2
System 229,2
System 230,2
System 231,2
System 232,1
System 233,2
System 234,1
System 235,2
System 236,2
System 237,2
System 238,1
System 239,2
System 240,2
System 241,1
System 242,2
System 243,1
System 244,1
System 245,1
System 246,2
System 247,2
System 248,2
System 249,2
System 250,2
System 251,2
System 252,1
System 253,1
System 254,2
System 255,1
System 256,1
System 257,1
System 258,1
System 259,1
System 260,2
System 261,2
System 262,1
System 263,1
System 264,1
System 265,1
System 266,1
System 267,2
System 268,1
System 269,2
System 270,2
System 271,2
System 272,2
System 273,2
System 274,2
System 275,2
System 276,1
System 277,2
System 278,1
System 279,2
System 280,2
System 281,1
System 282,2
System 283,2
System 284,2
System 285,2
System 286,1
System 287,1
System 288,2
System 289,2
System 290,2
System 291,2
System 292,2
System 293,2
System 294,1
System 295,2
System 296,1
System 297,1
System 298,1
System 299,2
System 300,1
System 301,2
System 302,2
System 303,2
System 304,2
System 305,2
System 306,2
System 307,2
System 308,2
System 309,2
System 310,2
System 311,2
System 312,2
System 313,2
System 314,1
System 315,2
System 316,2
System 317,1
System 318,1
System 319,2
System 320,2
System 321,2
System 322,1
System 323,1
System 324,1
System 325,1
System 326,1
System 327,1
System 328,1
System 329,1
System 330,1
System 331,1
System 332,1
System 333,2
System 334,1
System 335,2
System 336,1
System 337,1
System 338,2
System 339,2
System 340,2
System 341,2
System 342,2
System 343,2
System 344,2
System 345,2
System 346,2
System 347,2
System 348,2
System 349,2
System 350,2
System 351,2
System 352,2
System 353,2
System 354,2
System 355,1
System 356,2
System 357,2
System 358,2
System 359,2
System 360,2
System 361,2
System 362,2
System 363,1
System 364,1
System 365,1
System 366,1
System 367,1
System 368,1
System 369,1
System 370,1
System 371,1
